journal,year,issue,title,path
管理世界,2022,1,1,管理世界/管理世界2022年/管理世界2022年1期/1.pdf
管理世界,2022,1,中国特色应急管理制度体系构...实基础、存在问题与发展策略_张铮,管理世界/管理世界2022年/管理世界2022年1期/中国特色应急管理制度体系构...实基础、存在问题与发展策略_张铮.pdf
管理世界,2022,1,从市场势力到有效市场势力—...中国化学药品制剂制造业为例_邓忠奇,管理世界/管理世界2022年/管理世界2022年1期/从市场势力到有效市场势力—...中国化学药品制剂制造业为例_邓忠奇.pdf
管理世界,2022,1,制度、体制与机制：对国家治理体系的系统分析_张树华,管理世界/管理世界2022年/管理世界2022年1期/制度、体制与机制：对国家治理体系的系统分析_张树华.pdf
管理世界,2022,1,医疗健康大数据驱动的知识发现与知识服务方法_杨善林,管理世界/管理世界2022年/管理世界2022年1期/医疗健康大数据驱动的知识发现与知识服务方法_杨善林.pdf
管理世界,2022,1,基于数字化技术共建“和而不...菲亚与经销商的纵向案例研究_吴瑶,管理世界/管理世界2022年/管理世界2022年1期/基于数字化技术共建“和而不...菲亚与经销商的纵向案例研究_吴瑶.pdf
管理世界,2022,1,大数据情境下的数据完备化：挑战与对策_陈松蹊,管理世界/管理世界2022年/管理世界2022年1期/大数据情境下的数据完备化：挑战与对策_陈松蹊.pdf
管理世界,2022,1,大数据环境下我国未来区块链碳市场体系设计_叶强,管理世界/管理世界2022年/管理世界2022年1期/大数据环境下我国未来区块链碳市场体系设计_叶强.pdf
管理世界,2022,1,推进收入分配制度改革__促进共同富裕实现_李实,管理世界/管理世界2022年/管理世界2022年1期/推进收入分配制度改革__促进共同富裕实现_李实.pdf
管理世界,2022,1,数智赋能：信息系统研究的新跃迁_陈国青,管理世界/管理世界2022年/管理世界2022年1期/数智赋能：信息系统研究的新跃迁_陈国青.pdf
管理世界,2022,1,新中国社会治理的理论与实践_张来明,管理世界/管理世界2022年/管理世界2022年1期/新中国社会治理的理论与实践_张来明.pdf
管理世界,2022,1,电子商务增值税地区间分享和清算_刘怡,管理世界/管理世界2022年/管理世界2022年1期/电子商务增值税地区间分享和清算_刘怡.pdf
管理世界,2022,1,碳中和目标下的能源经济转型路径与政策研究_张希良,管理世界/管理世界2022年/管理世界2022年1期/碳中和目标下的能源经济转型路径与政策研究_张希良.pdf
管理世界,2022,1,管理层讨论与分析的语调操纵及其债券市场反应_林晚发,管理世界/管理世界2022年/管理世界2022年1期/管理层讨论与分析的语调操纵及其债券市场反应_林晚发.pdf
管理世界,2022,1,经济政策不确定性与企业短债长用_李增福,管理世界/管理世界2022年/管理世界2022年1期/经济政策不确定性与企业短债长用_李增福.pdf
管理世界,2022,1,认识人口基本演变规律__促进我国人口长期均衡发展_国务院发展研究中心课题组,管理世界/管理世界2022年/管理世界2022年1期/认识人口基本演变规律__促进我国人口长期均衡发展_国务院发展研究中心课题组.pdf
